,vintage.id,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
0,1846547,chateau-batailley,Château Batailley,Pauillac (Grand Cru Classé),2013,4.1,Pauillac,pauillac,bordeaux
1,3582165,haut-bages-monpelou,Château Haut-Bages Monpelou,Pauillac,2012,4.1,Pauillac,pauillac,bordeaux
2,21132624,donissan,Château Donissan,Listrac-Médoc,2014,3.7,Listrac-Médoc,listrac,bordeaux
3,16036464,m-chapoutier,M. Chapoutier,Ermitage Les Greffieux,2013,4.4,Hermitage,hermitage,hermitage
4,141379507,chateau-lynch-moussas,Château Lynch-Moussas,Les Hauts de Lynch-Moussas Haut-Médoc,2016,3.9,Haut-Médoc,haut-medoc,bordeaux
5,16673025,m-chapoutier,M. Chapoutier,Crozes-Ermitage Les Varonniers,2013,4.0,Crozes-Hermitage,crozes-hermitage,crozes-hermitage
6,19929366,m-chapoutier,M. Chapoutier,Ermitage de l'Orée,2014,4.3,Hermitage,hermitage,rhone
7,13231904,m-chapoutier,M. Chapoutier,Domaine de Bila-Haut R.I. (Rectificando Invenies) Côtes du Roussillon Villages,2014,3.8,Côtes du Roussillon Villages,cotes-du-roussillon-villages,languedoc-roussillon
8,145020844,villa-symposia,Villa Symposia,l'Equilibre,2016,4.0,Languedoc-Roussillon,languedoc-roussillon,languedoc-roussillon
9,9040706,charles-heidsieck,Charles Heidsieck,Blanc des Millenaires Millésime Brut Champagne,2004,4.5,Champagne,champagne,champagne
10,12116267,m-chapoutier,M. Chapoutier,Ermitage Le Méal,2013,4.6,Hermitage,hermitage,hermitage
11,4589995,m-chapoutier,M. Chapoutier,Châteauneuf-du-Pape Barbe Rac ,2014,4.2,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
12,133551423,palais-cardinal,Château Palais Cardinal,Saint-Emilion Grand Cru,2016,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
13,10749957,m-chapoutier,M. Chapoutier,Ermitage Les Greffieux,2014,4.2,Hermitage,hermitage,hermitage
14,4998481,m-chapoutier,M. Chapoutier,Saint-Joseph Les Granits ,2014,3.9,Saint-Joseph,saint-joseph,saint-joseph
15,150358070,chateau-chantemerle-medoc,Château Chantemerle,Médoc,2015,3.5,Médoc,medoc,bordeaux
16,5823475,m-chapoutier,M. Chapoutier,Châteauneuf-du-Pape Barbe Rac ,2013,4.3,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
17,12116274,m-chapoutier,M. Chapoutier,Ermitage Le Pavillon,2014,4.4,Hermitage,hermitage,hermitage
18,23267054,m-chapoutier,M. Chapoutier,Châteauneuf-du-Pape Croix De Bois ,2014,4.0,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
19,2061774,salon,Delamotte,Brut Champagne Grand Cru 'Le Mesnil-sur-Oger',N.V.,3.9,Champagne Grand Cru 'Le Mesnil-sur-Oger',champagne-grand-cru-le-mesnil-sur-oger,champagne
20,9112873,fr-chateau-poitevin,Château Poitevin,Médoc,2014,3.6,Médoc,medoc,bordeaux
21,4061619,chateau-fleur-cardinale,Château Fleur Cardinale,Saint-Émilion Grand Cru (Grand Cru Classé),2014,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
22,3237290,domaine-william-fevre,Domaine William Fèvre,Chablis Grand Cru Bougros,2012,4.2,Chablis Grand Cru 'Bougros',chablis-grand-cru-bougros,bourgogne
23,160759332,nicolas-pere-fils,Nicolas Pere & Fils,Côtes du Rhône Vieilles Vignes,2016,4.0,Côtes-du-Rhône,cotes-du-rhone,rhone
24,93823,chateau-lafite-rothschild,Château Lafite Rothschild,Carruades de Lafite Pauillac,2008,4.3,Pauillac,pauillac,bordeaux
0,3431954,chateau-grand-puy-ducasse,Château Grand-Puy Ducasse,Le Cloitre de Grand-Puy Ducasse Pauillac,2010,4.0,Pauillac,pauillac,bordeaux
1,1863608,chateau-latour-a-pomerol,Château Latour à Pomerol,Pomerol,2011,4.2,Pomerol,pomerol,bordeaux
2,25011601,haut-madrac-126784,Château Haut-Madrac,Haut-Médoc,2014,3.9,Haut-Médoc,haut-medoc,bordeaux
3,141405218,leydet,Vignobles Leydet,Chateau Leydet-Valentin Saint-Émilion Grand Cru,2016,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
4,154709222,sillons,Château Les Grands Sillons,Cuvée Amodis Pomerol,2014,4.0,Pomerol,pomerol,bordeaux
5,142324449,saint-ange-139365,Château Saint Ange,Saint-Émilion Grand Cru,2015,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
6,1243774,fargues,Château de Fargues,Sauternes (Lur Saluces),2007,4.5,Sauternes,sauternes,bordeaux
7,12294395,chateau-rouget,Château Rouget,Le Carillon de Rouget Pomerol,2013,3.9,Pomerol,pomerol,bordeaux
8,141554361,daugay,Château Daugay,Saint-Émilion Grand Cru,2015,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
9,11260666,m-chapoutier,M. Chapoutier,Côte-Rôtie La Mordorée ,2013,4.3,Côte-Rôtie,cote-rotie,rhone
10,147262530,chateau-rocher-gardat,Château Rocher Gardat,Montagne-Saint-Émilion,2016,3.9,Montagne-Saint-Émilion,montagne-saint-emilion,bordeaux
11,158314509,antoine-angst,Vignobles Angst,Chablis,2018,3.9,Chablis,chablis,bourgogne
12,148334359,mouton-pere-et-fils,Domaine Mouton,Côte-Rôtie,2016,4.1,Côte-Rôtie,cote-rotie,rhone
13,158444890,roc-de-levraut,Château Roc de Levraut,Bordeaux Supérieur,2018,4.0,Bordeaux Supérieur,bordeaux-superieur,bordeaux
14,34624558,chateau-peyredon-lagravette,Château Peyredon Lagravette,Haut-Médoc Rouge,2014,3.7,Haut-Médoc,haut-medoc,bordeaux
15,11260664,m-chapoutier,M. Chapoutier,Côte-Rôtie La Mordorée ,2014,4.3,Côte-Rôtie,cote-rotie,rhone
16,154744362,chateau-simard,Château Simard,Saint-Émilion Grand Cru,2010,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
17,4183165,chateau-paloumey,Château Paloumey,Haut-Médoc,2014,3.7,Haut-Médoc,haut-medoc,bordeaux
18,108443970,chateau-des-annereaux,Château des Annereaux,Lalande-de-Pomerol,2016,4.0,Lalande-de-Pomerol,lalande-de-pomerol,bordeaux
19,160769452,domaine-de-marzilly,Domaine de Marzilly,Ullens Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
20,160057350,patrick-jasmin,Patrick Jasmin,La Giroflarie Côte-Rôtie,2017,3.6,Côte-Rôtie,cote-rotie,rhone
21,19783688,domaine-gilles-barge,Gilles Barge,Côte-Brune Côte-Rôtie,2012,4.1,Côte-Rôtie,cote-rotie,rhone
22,143052712,chateau-la-faviere,Château La Favière,Bordeaux Supérieur,2016,4.1,Bordeaux Supérieur,bordeaux-superieur,bordeaux
23,27442113,chateau-soutard,Château Soutard,Les Jardins de Soutard Saint-Émilion,2014,4.0,Saint-Émilion,saint-emilion,bordeaux
24,3149010,clos-vieux-taillefer,Clos Vieux Taillefer,Pomerol,2011,4.0,Pomerol,pomerol,bordeaux
0,156242562,fr-aegerter-jean-luc-paul,Aegerter,Vieilles Vignes Chablis Premier Cru,2018,4.3,Chablis Premier Cru,chablis-premier-cru,bourgogne
1,146523603,pascal-jolivet,Pascal Jolivet,Sancerre La Bondenotte Rouge,2016,3.6,Sancerre,sancerre,loire-valley
2,24763157,grand-corbin,Château Grand Corbin,Les Charmes de Grand Corbin Saint-Émilion Grand Cru,2012,3.8,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
3,154396262,domaine-de-la-janasse,Domaine de la Janasse,Clos St. Antonin Châteauneuf-du-Pape,2015,3.9,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
4,8577649,chateau-la-dominique,Château La Dominique,Saint-Émilion Grand Cru (Grand Cru Classé),2014,4.1,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
5,154904867,vouette-et-sorbe,Vouette et Sorbée,Blanc d'Argile Brut Nature Champagne,N.V.,4.2,Champagne,champagne,champagne
6,151392489,paveil-de-luze,Château Paveil de Luze,Margaux,2017,3.7,Margaux,margaux,bordeaux
7,24331004,chateau-capbern,Château Capbern,Saint-Estèphe,2015,4.0,Saint-Estèphe,saint-estephe,bordeaux
8,147835166,domaine-de-la-cote-de-l-ange,Domaine de la Cote de l'Ange,Vieilles Vignes Châteauneuf-du-Pape,2015,4.2,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
9,2083000,paul-jaboulet-aine-1387,Paul Jaboulet Aîné,Crozes-Hermitage Domaine de Thalabert,2010,4.0,Crozes-Hermitage,crozes-hermitage,crozes-hermitage
10,137345882,chateau-beauvillage,Château Beauvillage,Médoc,2015,3.8,Médoc,medoc,bordeaux
